dates,provinces,salaries
01/01/2021,BUENOS AIRES,79039
01/01/2021,CAPITAL FEDERAL,104203
01/01/2021,CATAMARCA,61938
01/01/2021,CHACO,56758
01/01/2021,CHUBUT,115398
01/01/2021,CORDOBA,73948
01/01/2021,CORRIENTES,64181
01/01/2021,ENTRE RIOS,63315
01/01/2021,FORMOSA,55201
01/01/2021,JUJUY,50825
01/01/2021,LA PAMPA,84475
01/01/2021,LA RIOJA,45552
01/01/2021,MENDOZA,61130
01/01/2021,MISIONES,58959
01/01/2021,NEUQUEN,104706
01/01/2021,RIO NEGRO,67805
01/01/2021,SALTA,67804
01/01/2021,SAN JUAN,71694
01/01/2021,SAN LUIS,73145
01/01/2021,SANTA CRUZ,144084
01/01/2021,SANTA FE,78667
01/01/2021,SANTIAGO DEL ESTERO,42722
01/01/2021,TIERRA DEL FUEGO,103538
01/01/2021,TUCUMAN,53852
01/02/2021,BUENOS AIRES,79378
01/02/2021,CAPITAL FEDERAL,102619
01/02/2021,CATAMARCA,61537
01/02/2021,CHACO,57435
01/02/2021,CHUBUT,112923
01/02/2021,CORDOBA,73202
01/02/2021,CORRIENTES,64647
01/02/2021,ENTRE RIOS,65934
01/02/2021,FORMOSA,61559
01/02/2021,JUJUY,59758
01/02/2021,LA PAMPA,85737
01/02/2021,LA RIOJA,47643
01/02/2021,MENDOZA,61813
01/02/2021,MISIONES,66838
01/02/2021,NEUQUEN,102802
01/02/2021,RIO NEGRO,73279
01/02/2021,SALTA,71488
01/02/2021,SAN JUAN,68778
01/02/2021,SAN LUIS,71798
01/02/2021,SANTA CRUZ,146037
01/02/2021,SANTA FE,77579
01/02/2021,SANTIAGO DEL ESTERO,52554
01/02/2021,TIERRA DEL FUEGO,106127
01/02/2021,TUCUMAN,53677
01/03/2021,BUENOS AIRES,86792
01/03/2021,CAPITAL FEDERAL,111137
01/03/2021,CATAMARCA,96325
01/03/2021,CHACO,62092
01/03/2021,CHUBUT,112367
01/03/2021,CORDOBA,77699
01/03/2021,CORRIENTES,66271
01/03/2021,ENTRE RIOS,68287
01/03/2021,FORMOSA,66818
01/03/2021,JUJUY,53357
01/03/2021,LA PAMPA,88962
01/03/2021,LA RIOJA,48759
01/03/2021,MENDOZA,64340
01/03/2021,MISIONES,68266
01/03/2021,NEUQUEN,114848
01/03/2021,RIO NEGRO,75278
01/03/2021,SALTA,74613
01/03/2021,SAN JUAN,74766
01/03/2021,SAN LUIS,77749
01/03/2021,SANTA CRUZ,153688
01/03/2021,SANTA FE,83220
01/03/2021,SANTIAGO DEL ESTERO,54188
01/03/2021,TIERRA DEL FUEGO,114087
01/03/2021,TUCUMAN,59659
01/04/2021,BUENOS AIRES,88289
01/04/2021,CAPITAL FEDERAL,109568
01/04/2021,CATAMARCA,67911
01/04/2021,CHACO,64825
01/04/2021,CHUBUT,119559
01/04/2021,CORDOBA,81183
01/04/2021,CORRIENTES,68123
01/04/2021,ENTRE RIOS,69648
01/04/2021,FORMOSA,74186
01/04/2021,JUJUY,55860
01/04/2021,LA PAMPA,91638
01/04/2021,LA RIOJA,51925
01/04/2021,MENDOZA,66425
01/04/2021,MISIONES,69266
01/04/2021,NEUQUEN,116422
01/04/2021,RIO NEGRO,77963
01/04/2021,SALTA,76943
01/04/2021,SAN JUAN,77726
01/04/2021,SAN LUIS,79525
01/04/2021,SANTA CRUZ,148997
01/04/2021,SANTA FE,86156
01/04/2021,SANTIAGO DEL ESTERO,54672
01/04/2021,TIERRA DEL FUEGO,123128
01/04/2021,TUCUMAN,58643
01/05/2021,BUENOS AIRES,88463
01/05/2021,CAPITAL FEDERAL,106936
01/05/2021,CATAMARCA,69001
01/05/2021,CHACO,65484
01/05/2021,CHUBUT,120930
01/05/2021,CORDOBA,82182
01/05/2021,CORRIENTES,68998
01/05/2021,ENTRE RIOS,73122
01/05/2021,FORMOSA,70741
01/05/2021,JUJUY,56283
01/05/2021,LA PAMPA,91906
01/05/2021,LA RIOJA,53293
01/05/2021,MENDOZA,67873
01/05/2021,MISIONES,80837
01/05/2021,NEUQUEN,121715
01/05/2021,RIO NEGRO,80635
01/05/2021,SALTA,79464
01/05/2021,SAN JUAN,81049
01/05/2021,SAN LUIS,80103
01/05/2021,SANTA CRUZ,160096
01/05/2021,SANTA FE,86268
01/05/2021,SANTIAGO DEL ESTERO,54906
01/05/2021,TIERRA DEL FUEGO,123486
01/05/2021,TUCUMAN,59963
01/06/2021,BUENOS AIRES,129934
01/06/2021,CAPITAL FEDERAL,158752
01/06/2021,CATAMARCA,105019
01/06/2021,CHACO,96483
01/06/2021,CHUBUT,172576
01/06/2021,CORDOBA,
01/06/2021,CORRIENTES,100209
01/06/2021,ENTRE RIOS,106384
01/06/2021,FORMOSA,100983
01/06/2021,JUJUY,84146
01/06/2021,LA PAMPA,132229
01/06/2021,LA RIOJA,80394
01/06/2021,MENDOZA,97462
01/06/2021,MISIONES,86079
01/06/2021,NEUQUEN,164319
01/06/2021,RIO NEGRO,116890
01/06/2021,SALTA,117954
01/06/2021,SAN JUAN,117449
01/06/2021,SAN LUIS,118604
01/06/2021,SANTA CRUZ,223769
01/06/2021,SANTA FE,127594
01/06/2021,SANTIAGO DEL ESTERO,80848
01/06/2021,TIERRA DEL FUEGO,169137
01/06/2021,TUCUMAN,87203
01/07/2021,BUENOS AIRES,96763
01/07/2021,CAPITAL FEDERAL,118333
01/07/2021,CATAMARCA,72841
01/07/2021,CHACO,73161
01/07/2021,CHUBUT,137386
01/07/2021,CORDOBA,86745
01/07/2021,CORRIENTES,74778
01/07/2021,ENTRE RIOS,79211
01/07/2021,FORMOSA,81108
01/07/2021,JUJUY,61687
01/07/2021,LA PAMPA,98410
01/07/2021,LA RIOJA,56988
01/07/2021,MENDOZA,73662
01/07/2021,MISIONES,81545
01/07/2021,NEUQUEN,131973
01/07/2021,RIO NEGRO,85173
01/07/2021,SALTA,88018
01/07/2021,SAN JUAN,86087
01/07/2021,SAN LUIS,89470
01/07/2021,SANTA CRUZ,184207
01/07/2021,SANTA FE,93752
01/07/2021,SANTIAGO DEL ESTERO,57530
01/07/2021,TIERRA DEL FUEGO,131448
01/07/2021,TUCUMAN,65027
01/08/2021,BUENOS AIRES,99000
01/08/2021,CAPITAL FEDERAL,119975
01/08/2021,CATAMARCA,77350
01/08/2021,CHACO,75951
01/08/2021,CHUBUT,140680
01/08/2021,CORDOBA,89682
01/08/2021,CORRIENTES,76819
01/08/2021,ENTRE RIOS,80388
01/08/2021,FORMOSA,81905
01/08/2021,JUJUY,62694
01/08/2021,LA PAMPA,100448
01/08/2021,LA RIOJA,58392
01/08/2021,MENDOZA,75628
01/08/2021,MISIONES,84076
01/08/2021,NEUQUEN,134617
01/08/2021,RIO NEGRO,97826
01/08/2021,SAN JUAN,88487
01/08/2021,SAN LUIS,89479
01/08/2021,SANTA CRUZ,190999
01/08/2021,SANTA FE,96066
01/08/2021,SANTIAGO DEL ESTERO,57974
01/08/2021,TIERRA DEL FUEGO,136246
01/08/2021,TUCUMAN,67159
01/09/2021,BUENOS AIRES,102206
01/09/2021,CAPITAL FEDERAL,128375
01/09/2021,CATAMARCA,78607
01/09/2021,CHACO,78528
01/09/2021,CHUBUT,141626
01/09/2021,CORDOBA,93166
01/09/2021,CORRIENTES,78225
01/09/2021,ENTRE RIOS,84143
01/09/2021,FORMOSA,85369
01/09/2021,JUJUY,66805
01/09/2021,LA PAMPA,104401
01/09/2021,LA RIOJA,64630
01/09/2021,MENDOZA,79044
01/09/2021,MISIONES,86357
01/09/2021,NEUQUEN,142942
01/09/2021,RIO NEGRO,102652
01/09/2021,SALTA,94006
01/09/2021,SAN JUAN,90122
01/09/2021,SAN LUIS,91112
01/09/2021,SANTA CRUZ,195105
01/09/2021,SANTA FE,99759
01/09/2021,SANTIAGO DEL ESTERO,59252
01/09/2021,TIERRA DEL FUEGO,145501
01/09/2021,TUCUMAN,69297
01/10/2021,BUENOS AIRES,107690
01/10/2021,CAPITAL FEDERAL,132926
01/10/2021,CATAMARCA,85431
01/10/2021,CHACO,83816
01/10/2021,CHUBUT,144591
01/10/2021,CORDOBA,97830
01/10/2021,CORRIENTES,82258
01/10/2021,ENTRE RIOS,88213
01/10/2021,FORMOSA,89213
01/10/2021,JUJUY,69541
01/10/2021,LA PAMPA,108336
01/10/2021,LA RIOJA,66548
01/10/2021,MENDOZA,83202
01/10/2021,MISIONES,89822
01/10/2021,NEUQUEN,144589
01/10/2021,RIO NEGRO,105603
01/10/2021,SALTA,97557
01/10/2021,SAN JUAN,95600
01/10/2021,SAN LUIS,97731
01/10/2021,SANTA CRUZ,188582
01/10/2021,SANTA FE,104037
01/10/2021,SANTIAGO DEL ESTERO,60169
01/10/2021,TIERRA DEL FUEGO,153750
01/10/2021,TUCUMAN,71766
01/11/2021,BUENOS AIRES,111710
01/11/2021,CAPITAL FEDERAL,136883
01/11/2021,CATAMARCA,86746
01/11/2021,CHACO,85072
01/11/2021,CHUBUT,147843
01/11/2021,CORDOBA,102497
01/11/2021,CORRIENTES,85309
01/11/2021,ENTRE RIOS,91091
01/11/2021,FORMOSA,94840
01/11/2021,JUJUY,71306
01/11/2021,LA PAMPA,112718
01/11/2021,LA RIOJA,68600
01/11/2021,MENDOZA,85806
01/11/2021,MISIONES,91842
01/11/2021,NEUQUEN,147322
01/11/2021,RIO NEGRO,108510
01/11/2021,SALTA,100406
01/11/2021,SAN JUAN,98934
01/11/2021,SAN LUIS,98729
01/11/2021,SANTA CRUZ,183098
01/11/2021,SANTA FE,107283
01/11/2021,SANTIAGO DEL ESTERO,61757
01/11/2021,TIERRA DEL FUEGO,154946
01/11/2021,TUCUMAN,74026
01/12/2021,BUENOS AIRES,169008
01/12/2021,CAPITAL FEDERAL,203208
01/12/2021,CATAMARCA,131017
01/12/2021,CHACO,123697
01/12/2021,CHUBUT,218551
01/12/2021,CORDOBA,150310
01/12/2021,CORRIENTES,126844
01/12/2021,ENTRE RIOS,136553
01/12/2021,FORMOSA,129746
01/12/2021,JUJUY,104129
